Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
AUBANK,2026-01-22 05:00:00-05:00,8.4,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2025-10-17 11:00:00-04:00,7.61,7.48,-1.71,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2025-07-18 20:00:00-04:00,7.0,7.78,11.17,2025-06-30,0.0,0.254263,0.0,0.0,5808582000.0,20446711000.0,23337719000.0,43784430000.0,5808582000.0,5808582000.0,746604370.0,744690000.0,7.78,7.8,5808582000.0,5808582000.0,5808582000.0,5808582000.0,0.0,5808582000.0,1980462000.0,7789044000.0,0.0,15430662000.0,6775398000.0,28552772000.0,28552772000.0,608034203441.1621
AUBANK,2025-04-22 06:00:00-04:00,7.03,6.75,-4.03,2025-03-31,-8423948.261309,0.233512,-36075000.0,-36075000.0,5036986000.0,20939265000.0,21766750000.0,42706015000.0,5064637051.738691,5036986000.0,,,,,5036986000.0,5036986000.0,5036986000.0,5036986000.0,0.0,5036993000.0,1534530000.0,6571523000.0,-36075000.0,15739626000.0,-7869912000.0,28581996000.0,28581996000.0,
AUBANK,2025-01-24 04:00:00-05:00,7.07,7.08,0.19,2024-12-31,0.0,0.248544,0.0,0.0,5284463000.0,20227066000.0,20907687000.0,41134753000.0,5284463000.0,5284463000.0,746393079.0,744290563.0,7.08,7.1,5284463000.0,5284463000.0,5284463000.0,5284463000.0,0.0,5284463000.0,1747835000.0,7032298000.0,0.0,14362115000.0,6815494000.0,26411165000.0,26411165000.0,415620272710.1558
AUBANK,2024-10-23 06:00:00-04:00,6.93,7.65,10.34,2024-09-30,0.0,0.2472,0.0,0.0,5712104000.0,19743623000.0,19362501000.0,39106124000.0,5712104000.0,5712104000.0,746680261.0,743763542.0,7.65,7.68,5712104000.0,5712104000.0,5712104000.0,5712104000.0,0.0,5712104000.0,1875709000.0,7587813000.0,0.0,14805575000.0,6950667000.0,26123268000.0,26123268000.0,549855661542.4474
AUBANK,2024-07-25 06:00:00-04:00,6.73,6.74,0.11,2024-06-30,0.0,0.248653,0.0,0.0,5025712000.0,19205862000.0,18484556000.0,37690418000.0,5025712000.0,5025712000.0,745654599.0,742350369.0,6.74,6.77,5025712000.0,5025712000.0,5025712000.0,5025712000.0,0.0,5025712000.0,1663226000.0,6688938000.0,0.0,14781138000.0,6879783000.0,24298572000.0,24298572000.0,497495361041.1742
AUBANK,2024-04-24 06:00:00-04:00,5.64,6.45,14.32,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2024-01-25 08:00:00-05:00,6.18,5.58,-9.71,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2023-10-28 04:00:00-04:00,5.64,5.98,6.08,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2023-07-22 06:00:00-04:00,5.85,5.77,-1.37,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2023-04-25 07:00:00-04:00,6.01,6.34,5.49,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2023-01-19 09:00:00-05:00,5.51,5.87,6.63,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2022-10-19 06:00:00-04:00,5.08,5.24,3.25,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2022-07-20 06:00:00-04:00,5.77,4.22,-26.8,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2022-04-26 07:00:00-04:00,4.86,5.46,12.32,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2022-01-28 05:00:00-05:00,4.29,4.77,11.25,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2021-10-28 09:00:00-04:00,3.76,4.41,17.23,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2021-08-06 04:00:00-04:00,3.03,3.22,6.05,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2021-04-29 11:00:00-04:00,2.84,2.73,-3.99,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2021-01-28 06:00:00-05:00,5.93,7.77,30.99,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2020-10-28 08:00:00-04:00,2.68,5.24,95.46,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2020-07-23 08:00:00-04:00,2.7,3.26,20.85,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2020-05-02 07:00:00-04:00,3.18,1.99,-37.65,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2020-01-22 10:00:00-05:00,2.49,3.18,27.38,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
