Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BEL,2026-02-05 05:00:00-05:00,1.8,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2025-10-31 03:00:00-04:00,1.55,1.76,13.55,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2025-07-28 06:00:00-04:00,1.35,1.33,-1.48,2025-06-30,0.0,0.249101,14015900000.0,0.0,0.0,9699100000.0,1207900000.0,20760800000.0,14015900000.0,12808000000.0,-14400000.0,14400000.0,9699100000.0,9699100000.0,33222600000.0,7292556391.0,7292556391.0,1.33,1.33,9699100000.0,9699100000.0,0.0,9699100000.0,8600000.0,9690500000.0,9690500000.0,3186900000.0,12793600000.0,1633200000.0,0.0,-14400000.0,14400000.0,11174800000.0,12461800000.0,4289100000.0,1207900000.0,1207900000.0,23636600000.0,20760800000.0,44397400000.0,44397400000.0,3066698225894.174
BEL,2025-05-19 08:00:00-04:00,2.56,2.87,12.0,2025-03-31,-368692671.749336,0.260266,31520700000.0,-1416600000.0,-1416600000.0,21270400000.0,1375800000.0,47563100000.0,30104100000.0,28728300000.0,6390600000.0,55700000.0,22318307328.250664,21270400000.0,56602100000.0,,,,,21270400000.0,21270400000.0,0.0,21270400000.0,200000.0,21270200000.0,21270200000.0,7462500000.0,28672600000.0,-5356500000.0,-1621900000.0,6390600000.0,55700000.0,28379300000.0,9039000000.0,3706200000.0,1375800000.0,973500000.0,37418300000.0,47563100000.0,84981400000.0,84981400000.0,
BEL,2025-01-30 03:00:00-05:00,1.4,1.81,29.37,2024-12-31,0.0,0.253696,18558700000.0,0.0,0.0,13109500000.0,1109300000.0,29813500000.0,18558700000.0,17449400000.0,-13200000.0,13200000.0,13109500000.0,13109500000.0,42121300000.0,7323743017.0,7323743017.0,1.79,1.79,13109500000.0,13109500000.0,0.0,13109500000.0,-6500000.0,13116000000.0,13116000000.0,4423500000.0,17436200000.0,1863800000.0,0.0,-13200000.0,13200000.0,15585600000.0,12307800000.0,4478800000.0,1109300000.0,1109300000.0,27893400000.0,29813500000.0,57706900000.0,57706900000.0,2130187809695.4224
BEL,2024-10-25 04:00:00-04:00,1.22,1.49,21.94,2024-09-30,0.0,0.250014,15577100000.0,0.0,0.0,10924500000.0,1111900000.0,21418500000.0,15577100000.0,14465200000.0,-13200000.0,13200000.0,10924500000.0,10924500000.0,33161400000.0,7283000000.0,7283000000.0,1.5,1.5,10924500000.0,10924500000.0,0.0,10924500000.0,-3300000.0,10927800000.0,10927800000.0,3613200000.0,14452000000.0,1577600000.0,0.0,-13200000.0,13200000.0,12887600000.0,11742900000.0,4070900000.0,1111900000.0,1111900000.0,24630500000.0,21418500000.0,46049000000.0,46049000000.0,2060167289764.4043
BEL,2024-07-29 04:00:00-04:00,1.95,1.06,-45.64,2024-06-30,0.0,0.251151,11517800000.0,0.0,0.0,7910000000.0,1076800000.0,23151000000.0,11517800000.0,10441000000.0,-11800000.0,11800000.0,7910000000.0,7910000000.0,34030500000.0,7324074074.0,7324074074.0,1.08,1.08,7910000000.0,7910000000.0,0.0,7910000000.0,-2800000.0,7912800000.0,7912800000.0,2619300000.0,10429200000.0,2035800000.0,0.0,-11800000.0,11800000.0,8405200000.0,10879500000.0,3137000000.0,1076800000.0,1076800000.0,19284700000.0,23151000000.0,42435700000.0,42435700000.0,2216932045808.199
BEL,2024-05-20 08:00:00-04:00,1.99,2.44,22.89,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2024-01-29 03:00:00-05:00,1.68,1.22,-27.54,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,2023-10-28 03:00:00-04:00,3.0,1.11,-63.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
