Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
CHOLAFIN,2026-02-06 05:00:00-05:00,15.32,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2025-11-06 03:00:00-05:00,14.29,13.7,-4.13,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2025-07-31 05:00:00-04:00,14.26,13.47,-5.56,2025-06-30,0.0,0.257291,11378300000.0,674400000.0,31879300000.0,34680600000.0,66559900000.0,11378300000.0,11378300000.0,842837037.0,840968219.0,13.5,13.53,11378300000.0,11378300000.0,11378300000.0,0.0,11378300000.0,11378300000.0,3941700000.0,15320000000.0,1756400000.0,14714300000.0,4683300000.0,674400000.0,674400000.0,38850300000.0,38850300000.0,1368480419669.478
CHOLAFIN,2025-04-25 05:00:00-04:00,14.27,14.94,4.66,2025-03-31,0.0,0.258878,12595600000.0,640900000.0,31194800000.0,33453800000.0,64648600000.0,12595600000.0,12595600000.0,,,,,12595600000.0,12595600000.0,12595600000.0,0.0,12595400000.0,12595400000.0,4390200000.0,16958600000.0,1536900000.0,14536700000.0,1161000000.0,640900000.0,461900000.0,35252800000.0,35252800000.0,
CHOLAFIN,2025-01-31 03:00:00-05:00,12.37,12.91,4.33,2024-12-31,0.0,0.257524,10882100000.0,591500000.0,28918800000.0,32749300000.0,61668100000.0,10882100000.0,10882100000.0,842920217.0,840316602.0,12.91,12.95,10882100000.0,10882100000.0,10882100000.0,0.0,10882100000.0,10882100000.0,3774400000.0,14656500000.0,1268800000.0,14332600000.0,4808000000.0,591500000.0,591500000.0,35618300000.0,35618300000.0,995188018556.786
CHOLAFIN,2024-10-25 05:00:00-04:00,12.22,11.43,-6.46,2024-09-30,0.0,0.258323,9678000000.0,626300000.0,27175500000.0,30585700000.0,57761200000.0,9678000000.0,9678000000.0,842297650.0,840104167.0,11.49,11.52,9678000000.0,9678000000.0,9678000000.0,0.0,9678000000.0,9678000000.0,3370800000.0,13048800000.0,455200000.0,13360300000.0,4670100000.0,626300000.0,626300000.0,32637700000.0,32637700000.0,1349009572373.6338
CHOLAFIN,2024-07-26 05:00:00-04:00,11.59,11.19,-3.43,2024-06-30,0.0,0.257172,9471500000.0,589600000.0,25844100000.0,27963600000.0,53807700000.0,9471500000.0,9471500000.0,841911111.0,840417036.0,11.25,11.27,9471500000.0,9471500000.0,9471500000.0,0.0,9471500000.0,9471500000.0,3279100000.0,12750600000.0,324200000.0,12041900000.0,4513500000.0,589600000.0,589600000.0,30603900000.0,30603900000.0,1194093803926.2993
CHOLAFIN,2024-04-30 05:00:00-04:00,11.42,12.65,10.75,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2024-01-25 05:00:00-05:00,8.34,10.42,24.94,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2023-11-02 05:00:00-04:00,5.77,9.25,60.33,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2023-08-01 06:00:00-04:00,9.57,8.81,-7.94,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2023-05-03 08:00:00-04:00,22.77,10.36,-54.5,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2023-01-31 07:00:00-05:00,11.82,8.31,-29.7,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2022-11-01 08:00:00-04:00,7.55,6.85,-9.21,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2022-07-29 06:00:00-04:00,7.46,6.88,-7.73,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2022-05-05 09:00:00-04:00,7.45,8.38,12.48,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2022-02-01 08:00:00-05:00,6.79,6.37,-6.23,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2021-10-29 09:00:00-04:00,6.48,7.38,13.98,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2021-07-30 06:00:00-04:00,4.87,3.98,-18.19,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2021-05-07 09:00:00-04:00,4.64,2.96,-36.14,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2021-01-29 04:00:00-05:00,5.7,4.98,-12.63,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2020-10-29 05:00:00-04:00,4.0,5.27,31.75,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2020-07-30 05:00:00-04:00,2.3,5.26,128.7,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2020-06-03 09:00:00-04:00,4.85,0.53,-89.07,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,2020-01-23 06:00:00-05:00,4.77,4.96,3.93,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
