Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
CIPLA,2026-01-27 05:00:00-05:00,15.0,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2025-10-30 03:00:00-04:00,16.34,16.72,2.32,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2025-07-25 03:00:00-04:00,14.97,16.06,7.27,2025-06-30,0.0,0.269999,20367000000.0,,,12976200000.0,2527200000.0,21707100000.0,20367000000.0,17839800000.0,-140500000.0,140500000.0,12976200000.0,12976200000.0,53116200000.0,807982565.0,807479776.0,16.06,16.07,12976200000.0,12976200000.0,0.0,12976200000.0,60100000.0,12916100000.0,12916100000.0,4778800000.0,17699300000.0,2585600000.0,,,,-140500000.0,140500000.0,15254200000.0,31409100000.0,16963200000.0,2527200000.0,2527200000.0,46663300000.0,21707100000.0,68370400000.0,68370400000.0,1215983814392.2617
CIPLA,2025-05-13 04:00:00-04:00,13.02,15.12,16.13,2025-03-31,671586433.557136,0.185654,13358200000.0,3617400000.0,3617400000.0,12218400000.0,1972300000.0,30227700000.0,16975600000.0,15003300000.0,2503800000.0,-39700000.0,9272586433.557137,12218400000.0,52455900000.0,,,,,12218400000.0,12218400000.0,0.0,12218400000.0,77000000.0,12141400000.0,12141400000.0,2792800000.0,15043000000.0,-4508200000.0,-470800000.0,-644200000.0,,2503800000.0,-39700000.0,13521300000.0,22228200000.0,-25367700000.0,1972300000.0,-692200000.0,35749500000.0,30227700000.0,65977200000.0,65977200000.0,
CIPLA,2025-01-28 03:00:00-05:00,14.79,19.43,31.36,2024-12-31,116219958.352687,0.173463,21435300000.0,670000000.0,670000000.0,15705100000.0,2798000000.0,22640800000.0,22105300000.0,19307300000.0,-146400000.0,146400000.0,15151319958.352688,15705100000.0,52524800000.0,808291302.0,807460154.0,19.43,19.45,15705100000.0,15705100000.0,0.0,15705100000.0,-40800000.0,15745900000.0,15745900000.0,3323700000.0,19160900000.0,1546100000.0,670000000.0,-670000000.0,,-146400000.0,146400000.0,17091200000.0,29884000000.0,16223500000.0,2798000000.0,2798000000.0,46975200000.0,22640800000.0,69616000000.0,69616000000.0,1221557498944.0576
CIPLA,2024-10-29 04:00:00-04:00,14.97,16.12,7.67,2024-09-30,0.0,0.269997,20762000000.0,0.0,0.0,13025300000.0,2717400000.0,22830100000.0,20762000000.0,18044600000.0,-154000000.0,154000000.0,13025300000.0,13025300000.0,53473700000.0,808021092.0,807520149.0,16.12,16.13,13025300000.0,13025300000.0,0.0,13025300000.0,-24800000.0,13050100000.0,13050100000.0,4830400000.0,17890600000.0,1906100000.0,0.0,,0.0,-154000000.0,154000000.0,16138500000.0,30643600000.0,16745400000.0,2717400000.0,2717400000.0,46782100000.0,22830100000.0,69612200000.0,69612200000.0,1321601256531.724
CIPLA,2024-07-26 05:00:00-04:00,13.84,13.07,-5.55,2024-06-30,0.0,0.270002,18759900000.0,0.0,0.0,11776400000.0,2466800000.0,21928800000.0,18759900000.0,16293100000.0,-179500000.0,179500000.0,11776400000.0,11776400000.0,51557400000.0,808263555.0,807709191.0,14.57,14.58,11776400000.0,11776400000.0,0.0,11776400000.0,21800000.0,11754600000.0,11754600000.0,4350700000.0,16113600000.0,1601900000.0,0.0,,0.0,-179500000.0,179500000.0,14691200000.0,29628600000.0,15910300000.0,2466800000.0,2466800000.0,44319800000.0,21928800000.0,66248600000.0,66248600000.0,1173464305660.124
CIPLA,2024-05-10 05:00:00-04:00,10.72,11.62,8.41,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2024-01-22 08:00:00-05:00,12.97,11.32,-12.7,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2023-10-27 04:00:00-04:00,12.34,14.0,13.47,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2023-07-26 05:00:00-04:00,10.97,12.33,12.42,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2023-05-12 05:00:00-04:00,9.34,8.1,-13.35,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2023-01-25 03:00:00-05:00,11.27,9.92,-12.01,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2022-11-04 04:00:00-04:00,9.54,9.77,2.41,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2022-07-29 06:00:00-04:00,7.73,8.5,9.92,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2022-05-10 09:00:00-04:00,6.76,5.08,-24.92,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2022-01-25 09:00:00-05:00,8.94,9.02,0.95,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2021-10-26 09:00:00-04:00,8.78,8.8,0.21,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2021-08-05 09:00:00-04:00,8.44,9.95,18.0,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2021-05-14 08:00:00-04:00,6.84,5.12,-25.17,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2021-01-29 06:00:00-05:00,7.16,9.26,29.25,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2020-11-06 07:00:00-05:00,7.01,8.24,17.53,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2020-08-07 08:00:00-04:00,4.01,7.16,78.55,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2020-05-15 09:00:00-04:00,4.35,3.05,-29.9,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,2020-02-05 05:00:00-05:00,5.46,4.35,-20.36,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
