Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
DLF,2026-01-30 05:00:00-05:00,4.14,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2025-10-30 09:00:00-04:00,4.5,4.07,-9.54,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2025-08-04 07:00:00-04:00,3.97,3.08,-22.42,2025-06-30,0.0,0.258451,6283400000.0,,,7626700000.0,344700000.0,19483300000.0,6283400000.0,5938700000.0,-785700000.0,785700000.0,7626700000.0,7626700000.0,23870100000.0,2476201299.0,2476201299.0,3.08,3.08,7626700000.0,7626700000.0,0.0,7626700000.0,0.0,7626700000.0,7626700000.0,1331800000.0,5153000000.0,2641800000.0,,-785700000.0,785700000.0,3296900000.0,4386800000.0,2598600000.0,344700000.0,344700000.0,7683700000.0,19483300000.0,27167000000.0,27167000000.0,2059497457145.328
DLF,2025-05-19 11:00:00-04:00,2.69,5.18,92.9,2025-03-31,-28612361.702483,0.172185,11922958000.0,-166172000.0,-166172000.0,12822015000.0,369121000.0,16516013000.0,11756786000.0,11387665000.0,7271972000.0,860925000.0,12959574638.297518,12822015000.0,19826248000.0,,,,,12822015000.0,12822015000.0,0.0,12822015000.0,21000.0,12821994000.0,12821994000.0,1812549000.0,10526740000.0,-7555199000.0,-33687000.0,7271972000.0,860925000.0,10978957000.0,3310235000.0,-4389148000.0,369121000.0,302052000.0,14289192000.0,16516013000.0,30805205000.0,30805205000.0,
DLF,2025-01-24 07:00:00-05:00,3.5,4.28,22.29,2024-12-31,-907170000.0,0.3,6087500000.0,-3023900000.0,-3023900000.0,10587300000.0,387400000.0,7382600000.0,3063600000.0,2676200000.0,-939000000.0,939000000.0,12704030000.0,10587300000.0,11674600000.0,2473668224.0,2473668224.0,4.28,4.28,10587300000.0,10587300000.0,0.0,10587300000.0,0.0,10587300000.0,10587300000.0,-2666800000.0,1737200000.0,2087600000.0,-3023900000.0,-939000000.0,939000000.0,3612500000.0,4292000000.0,2569200000.0,387400000.0,387400000.0,7904500000.0,7382600000.0,15287100000.0,15287100000.0,2025712182807.2263
DLF,2024-10-25 08:00:00-04:00,3.23,5.58,72.76,2024-09-30,0.0,0.3,7078500000.0,,,13810800000.0,377300000.0,10800600000.0,7078500000.0,6701200000.0,-935100000.0,935100000.0,13810800000.0,13810800000.0,15107100000.0,2475053763.0,2475053763.0,5.58,5.58,13810800000.0,13810800000.0,0.0,13810800000.0,-1400000.0,13812200000.0,13812200000.0,-4668000000.0,5766100000.0,2058100000.0,,-935100000.0,935100000.0,4643100000.0,4306500000.0,2275100000.0,377300000.0,377300000.0,8949600000.0,10800600000.0,19750200000.0,19750200000.0,2199456737981.3604
DLF,2024-07-25 09:00:00-04:00,3.12,2.61,-16.35,2024-06-30,0.0,0.258599,5960900000.0,,,6456100000.0,372800000.0,6616600000.0,5960900000.0,5588100000.0,-1011900000.0,1011900000.0,6456100000.0,6456100000.0,11711100000.0,2473601533.0,2473601533.0,2.61,2.61,6456100000.0,6456100000.0,0.0,6456100000.0,9400000.0,6446700000.0,6446700000.0,1183400000.0,4576200000.0,3674700000.0,,-1011900000.0,1011900000.0,1912400000.0,5094500000.0,3080200000.0,372800000.0,372800000.0,7006900000.0,6616600000.0,13623500000.0,13623500000.0,2013780537286.455
DLF,2024-05-13 09:00:00-04:00,2.6,3.72,43.08,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2024-01-24 05:00:00-05:00,2.5,2.65,6.0,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2023-10-30 06:00:00-04:00,2.0,2.52,26.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2023-07-21 06:00:00-04:00,2.2,2.13,-3.18,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2023-05-12 06:00:00-04:00,2.33,2.3,-1.29,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2023-01-25 06:00:00-05:00,1.94,2.1,8.22,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2022-10-21 08:00:00-04:00,2.07,1.93,-6.77,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2022-07-29 06:00:00-04:00,2.1,1.9,-9.52,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2022-05-17 08:00:00-04:00,2.54,1.64,-35.49,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2022-01-31 08:00:00-05:00,2.1,2.22,5.65,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2021-10-28 07:00:00-04:00,1.72,1.53,-11.05,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2021-07-26 06:00:00-04:00,0.89,1.36,53.1,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2021-06-11 07:00:00-04:00,2.05,1.94,-5.25,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2021-01-29 07:00:00-05:00,3.22,1.82,-43.53,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2020-10-30 08:00:00-04:00,0.04,1.15,2888.54,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2020-08-05 08:00:00-04:00,-0.4,-0.29,27.5,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2020-06-04 09:00:00-04:00,2.36,-6.17,-361.24,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLF,2020-02-05 12:00:00-05:00,2.6,1.1,-57.88,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
