Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
GLENMARK,2026-02-13 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,,,,,2025-09-30,-5111049848.03613,0.368998,25601800000.0,-13851160000.0,-13851160000.0,6103530000.0,1412000000.0,12645050000.0,11750640000.0,10338640000.0,-664630000.0,664630000.0,14843640151.96387,6103530000.0,37854430000.0,282309436.0,282178918.0,21.62,21.63,6103530000.0,6103530000.0,0.0,6103530000.0,-790000.0,6104320000.0,,6104320000.0,3569690000.0,9674010000.0,2006290000.0,-13851160000.0,,-664630000.0,664630000.0,22183510000.0,25209380000.0,13365550000.0,1412000000.0,1412000000.0,47392890000.0,12645050000.0,60037940000.0,60037940000.0,550307654410.8042
GLENMARK,2025-08-14 07:00:00-04:00,12.9,7.29,-43.52,2025-06-30,-969696000.0,0.3,6069620000.0,-3232320000.0,-3232320000.0,468710000.0,1299260000.0,10155760000.0,2837300000.0,1538040000.0,-582260000.0,582260000.0,2731334000.0,468710000.0,26087390000.0,282355422.0,282355422.0,1.66,1.66,468710000.0,468710000.0,0.0,468710000.0,-1020000.0,469730000.0,,469730000.0,486050000.0,955780000.0,264420000.0,-3232320000.0,3232320000.0,-582260000.0,582260000.0,4505940000.0,15931630000.0,9055900000.0,1299260000.0,1299260000.0,20437570000.0,10155760000.0,30593330000.0,30593330000.0,493983292428.4512
GLENMARK,2025-05-23 10:00:00-04:00,12.1,7.21,-40.39,2025-03-31,0.0,0.3,1998910000.0,,,46500000.0,1252050000.0,14929480000.0,1998910000.0,746860000.0,-227770000.0,667120000.0,46500000.0,46500000.0,27812150000.0,,,,,46500000.0,46500000.0,0.0,46500000.0,2660000.0,43840000.0,,43840000.0,35900000.0,79740000.0,-604840000.0,,,-227770000.0,667120000.0,4389170000.0,12882670000.0,-13197970000.0,1252050000.0,-13580000.0,17271840000.0,14929480000.0,32201320000.0,32201320000.0,
GLENMARK,2025-02-14 07:00:00-05:00,14.05,20.73,47.54,2024-12-31,0.0,0.237319,6313570000.0,,,3479620000.0,1227380000.0,10842370000.0,6313570000.0,5086190000.0,-522930000.0,522930000.0,3479620000.0,3479620000.0,28244130000.0,282207624.0,282207624.0,12.33,12.33,3479620000.0,3479620000.0,0.0,3479620000.0,-690000.0,3480310000.0,,3480310000.0,1082950000.0,4563260000.0,311280000.0,,,-522930000.0,522930000.0,4774910000.0,17401760000.0,9146000000.0,1227380000.0,1227380000.0,22176670000.0,10842370000.0,33019040000.0,33019040000.0,452989191716.584
GLENMARK,2024-11-14 08:00:00-05:00,14.7,12.55,-14.63,2024-09-30,0.0,0.249881,6413290000.0,0.0,0.0,3542140000.0,1202780000.0,10700770000.0,6413290000.0,5210510000.0,-484790000.0,484790000.0,3542140000.0,3542140000.0,29188640000.0,282242231.0,282242231.0,12.55,12.55,3542140000.0,3542140000.0,0.0,3542140000.0,-2710000.0,3544850000.0,0.0,3544850000.0,1180870000.0,4725720000.0,394170000.0,0.0,,-484790000.0,484790000.0,4816340000.0,18487870000.0,9752420000.0,1202780000.0,1202780000.0,23304210000.0,10700770000.0,34004980000.0,34004980000.0,471176668818.16504
GLENMARK,2024-08-14 08:00:00-04:00,11.3,12.06,6.73,2024-06-30,,,,0.0,0.0,,,,,,,,,,,282145108.0,282145108.0,12.06,12.06,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,345834716522.897
GLENMARK,2024-05-24 10:00:00-04:00,5.5,-28.2,-612.76,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,2023-08-11 08:00:00-04:00,10.74,6.27,-41.65,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,2023-05-19 09:00:00-04:00,10.77,8.1,-24.73,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
