Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
GRASIM,2026-02-10 05:00:00-05:00,22.83,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,2025-11-05 03:00:00-05:00,12.5,11.84,-5.28,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,2025-08-08 04:00:00-04:00,-4.7,-1.74,62.98,2025-06-30,-106772964.174479,0.278199,64985500000.0,-383800000.0,-383800000.0,14186800000.0,18103600000.0,214502600000.0,64601700000.0,46498100000.0,-8162300000.0,8162300000.0,14463827035.82552,14186800000.0,358406600000.0,679444444.0,678469632.0,20.88,20.91,14186800000.0,14186800000.0,0.0,14186800000.0,-13484000000.0,27670800000.0,,27670800000.0,10665000000.0,38335800000.0,3421000000.0,-383800000.0,383800000.0,,-8162300000.0,8162300000.0,42774200000.0,143904000000.0,49995700000.0,18103600000.0,18103600000.0,49857000000.0,49857000000.0,186678200000.0,214502600000.0,401180800000.0,401180800000.0,1922911640922.0
GRASIM,2025-05-22 10:00:00-04:00,31.98,22.93,-28.29,2025-03-31,1386693151.694525,0.25888,59676600000.0,5356500000.0,5356500000.0,12088700000.0,20586200000.0,299398500000.0,65033100000.0,44446900000.0,-5253100000.0,10118700000.0,8118893151.694525,12088800000.0,408952600000.0,,,,,12088800000.0,12088800000.0,0.0,12088800000.0,-13352500000.0,25441400000.0,,25441300000.0,8886900000.0,34328200000.0,-8088500000.0,-940600000.0,,,-5253100000.0,10118700000.0,40665600000.0,109554100000.0,-41062900000.0,20586200000.0,13205000000.0,110662600000.0,107072200000.0,150219700000.0,299398500000.0,449618200000.0,449618200000.0,
GRASIM,2025-02-10 09:00:00-05:00,-1.4,-2.53,-80.71,2024-12-31,0.0,0.246745,46785600000.0,0.0,0.0,8989800000.0,15315800000.0,191310700000.0,46785600000.0,31469800000.0,-6985400000.0,6985400000.0,8989800000.0,8989700000.0,320252500000.0,671875934.0,667386785.0,13.38,13.47,8989700000.0,8989700000.0,0.0,8989700000.0,-9453300000.0,18442900000.0,-100000.0,18443000000.0,6041400000.0,24484400000.0,3689800000.0,0.0,,,-6985400000.0,6985400000.0,27676000000.0,128941800000.0,48042100000.0,15315800000.0,15315800000.0,41397800000.0,41397800000.0,156617800000.0,191310700000.0,347928500000.0,347928500000.0,1624316784867.1118
GRASIM,2024-11-14 09:00:00-05:00,22.54,6.54,-70.99,2024-09-30,-250350000.0,0.3,41420900000.0,-834500000.0,-834500000.0,3146300000.0,15716200000.0,190403100000.0,40586400000.0,24870200000.0,-6566700000.0,6566700000.0,3730450000.0,3146300000.0,321388200000.0,668004246.0,665179704.0,4.71,4.73,3146300000.0,3146300000.0,0.0,3146300000.0,-6683100000.0,9829400000.0,,9829400000.0,8474100000.0,18303500000.0,4008500000.0,-834500000.0,834500000.0,499800000.0,-6566700000.0,6566700000.0,20837200000.0,130985100000.0,49434700000.0,15716200000.0,15716200000.0,41577400000.0,41577400000.0,151822300000.0,190403100000.0,342225400000.0,342225400000.0,1852803012777.24
GRASIM,2024-08-09 05:00:00-04:00,3.5,-0.79,-122.57,2024-06-30,-204472539.276064,0.232144,47725500000.0,-880800000.0,-880800000.0,10750300000.0,14431200000.0,185910700000.0,46844700000.0,32413500000.0,-5507800000.0,5507800000.0,11426627460.723936,10750300000.0,316151700000.0,666065675.0,661964286.0,16.14,16.24,10750300000.0,10750300000.0,0.0,10750300000.0,-9909400000.0,20659700000.0,,20659700000.0,6246000000.0,26905700000.0,3027800000.0,-880800000.0,880800000.0,,-5507800000.0,5507800000.0,29945800000.0,130241000000.0,47328100000.0,14431200000.0,14431200000.0,46960000000.0,46960000000.0,160186800000.0,185910700000.0,346097500000.0,346097500000.0,1754592419536.9556
GRASIM,2024-05-22 12:00:00-04:00,31.63,26.6,-15.91,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,2024-02-08 09:00:00-05:00,26.14,23.05,-11.82,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASIM,2023-11-13 09:00:00-05:00,26.31,17.71,-32.69,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
