Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Other Non Interest Expense,Market Cap
ICICIBANK,2026-01-24 05:00:00-05:00,16.56,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,2025-10-18 05:00:00-04:00,16.98,17.06,0.47,2025-09-30,0.0,0.251391,0.0,0.0,133570600000.0,261635200000.0,220173900000.0,481809100000.0,133570600000.0,133570600000.0,,,,,133570600000.0,133570600000.0,133570600000.0,-9610900000.0,143181500000.0,0.0,143181500000.0,48081800000.0,191263300000.0,0.0,256445500000.0,256445500000.0,195243300000.0,61202200000.0,541292000000.0,541292000000.0,85107600000.0,
ICICIBANK,2025-07-19 06:00:00-04:00,16.91,17.63,4.28,2025-06-30,0.0,0.260811,,,135576000000.0,259899000000.0,230900600000.0,490799600000.0,135576000000.0,135576000000.0,7246178514.0,7128075710.0,18.71,19.02,135576000000.0,135576000000.0,135576000000.0,-8987300000.0,144563300000.0,,144563300000.0,51006800000.0,195570100000.0,,225105800000.0,225105800000.0,158723600000.0,66382200000.0,514859700000.0,514859700000.0,76585800000.0,10226861313808.783
ICICIBANK,2025-04-19 06:00:00-04:00,16.91,17.6,4.07,2025-03-31,0.0,0.250186,0.0,0.0,135022155000.0,253395912000.0,230473229000.0,483869200000.0,135022155000.0,135022200000.0,7166783439.0,7065525903.0,18.84,19.11,134604200000.0,135022200000.0,135022155000.0,-8514701000.0,143536900000.0,,143536665000.0,47893100000.0,191429765000.0,0.0,-134083911000.0,287304400000.0,-267562142000.0,58179275000.0,558564237000.0,558564237000.0,79172000000.0,9453854781314.54
ICICIBANK,2025-01-24 19:00:00-05:00,16.22,16.45,1.45,2024-12-31,0.0,0.251572,,,128833700000.0,244037100000.0,226334100000.0,470371200000.0,128833700000.0,128833700000.0,7177364903.0,7055514786.0,17.95,18.26,128833700000.0,128833700000.0,128833700000.0,-9635200000.0,138468900000.0,,138468900000.0,46544100000.0,185013000000.0,,245583700000.0,245583700000.0,188844800000.0,56738900000.0,519931500000.0,519931500000.0,76839000000.0,8973460707473.0
ICICIBANK,2024-10-26 04:00:00-04:00,15.64,16.4,4.86,2024-09-30,0.0,0.250013,0.0,0.0,129477700000.0,241004800000.0,222253000000.0,463257800000.0,129477700000.0,129477700000.0,7173279778.0,7040657966.0,18.05,18.39,129477700000.0,129477700000.0,129477700000.0,-9582200000.0,139059900000.0,0.0,139059900000.0,46356600000.0,185416500000.0,0.0,233347900000.0,233347900000.0,173416000000.0,59931900000.0,507172500000.0,507172500000.0,75041200000.0,8894130083566.498
ICICIBANK,2024-07-27 05:00:00-04:00,14.98,15.46,3.21,2024-06-30,,,0.0,0.0,,,,,,,7166568627.0,7028750000.0,16.32,16.64,,,,,,,,,,0.0,,,,,,,,8295710501556.396
ICICIBANK,2024-04-27 06:00:00-04:00,14.57,14.99,2.87,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,2024-01-20 05:00:00-05:00,14.15,14.4,1.77,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,2023-10-21 06:00:00-04:00,13.59,14.4,5.93,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
