Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
INFY,2026-01-14 05:00:00-05:00,18.09,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2025-10-16 06:00:00-04:00,17.36,17.74,2.19,2025-09-30,7253218.88412,0.27897,1286000000.0,26000000.0,26000000.0,839000000.0,135000000.0,3516000000.0,1312000000.0,1177000000.0,72000000.0,12000000.0,84000000.0,820253218.88412,839000000.0,4011000000.0,1065000000.0,,,,,839000000.0,839000000.0,839000000.0,-1000000.0,840000000.0,840000000.0,325000000.0,1165000000.0,28000000.0,2000000.0,0.0,0.0,26000000.0,72000000.0,,12000000.0,84000000.0,1065000000.0,495000000.0,32000000.0,9000000.0,454000000.0,254000000.0,200000000.0,97000000.0,10000000.0,93000000.0,1560000000.0,3516000000.0,5076000000.0,5076000000.0,
INFY,2025-07-23 06:00:00-04:00,16.33,16.68,2.13,2025-06-30,0.0,0.289104,1028000000.0,,,809000000.0,,3416000000.0,1028000000.0,1028000000.0,,,,809000000.0,809000000.0,3913000000.0,1028000000.0,4257894737.0,4045000000.0,0.19,0.2,809000000.0,809000000.0,809000000.0,,809000000.0,809000000.0,329000000.0,1138000000.0,110000000.0,110000000.0,,,,,,,,1028000000.0,497000000.0,,,497000000.0,258000000.0,239000000.0,239000000.0,,,1525000000.0,3416000000.0,4941000000.0,4941000000.0,6381586448364.258
INFY,2025-04-17 06:00:00-04:00,16.06,16.94,5.46,2025-03-31,6797853.309481,0.271914,1254000000.0,25000000.0,25000000.0,813000000.0,150000000.0,3302000000.0,1279000000.0,1129000000.0,114000000.0,11000000.0,125000000.0,794797853.309481,813000000.0,3745000000.0,991000000.0,,,0.2,0.2,813000000.0,813000000.0,813000000.0,-1000000.0,814000000.0,814000000.0,304000000.0,1118000000.0,19000000.0,-6000000.0,6000000.0,-6000000.0,19000000.0,114000000.0,,11000000.0,125000000.0,985000000.0,443000000.0,30000000.0,9000000.0,404000000.0,55000000.0,349000000.0,89000000.0,9000000.0,251000000.0,1428000000.0,3302000000.0,4730000000.0,4730000000.0,
INFY,2025-01-16 05:00:00-05:00,16.19,16.39,1.21,2024-12-31,6191601.049869,0.294838,1134000000.0,21000000.0,21000000.0,804000000.0,,3444000000.0,1155000000.0,1155000000.0,58000000.0,12000000.0,70000000.0,789191601.049869,804000000.0,3885000000.0,1053000000.0,4151534784.0,4141941436.0,0.19,0.19,804000000.0,804000000.0,804000000.0,-2000000.0,806000000.0,806000000.0,337000000.0,1143000000.0,31000000.0,10000000.0,-1000000.0,1000000.0,22000000.0,58000000.0,,12000000.0,70000000.0,1054000000.0,441000000.0,31000000.0,7000000.0,403000000.0,45000000.0,358000000.0,98000000.0,8000000.0,252000000.0,1495000000.0,3444000000.0,4939000000.0,4939000000.0,7563026806805.254
INFY,2024-10-17 06:00:00-04:00,16.37,15.68,-4.24,2024-09-30,0.0,0.295928,1033000000.0,,,777000000.0,,3400000000.0,1033000000.0,1033000000.0,72000000.0,,,777000000.0,777000000.0,3861000000.0,1033000000.0,4089473684.0,4089473684.0,0.19,0.19,777000000.0,777000000.0,777000000.0,,778000000.0,778000000.0,327000000.0,1105000000.0,,,,,,72000000.0,-72000000.0,,,1033000000.0,461000000.0,,,461000000.0,221000000.0,187000000.0,92000000.0,,86000000.0,1494000000.0,3400000000.0,4894000000.0,4894000000.0,7365877930593.255
INFY,2024-07-18 06:00:00-04:00,15.08,15.35,1.82,2024-06-30,,,,,,,,,,,,,,,,,,4238888889.0,4238888889.0,0.18,0.18,,,,,,,,,88000000.0,88000000.0,,,,,,,,,,,,,,,,,,,,,,6377766403704.502
INFY,2024-04-18 07:00:00-04:00,14.94,19.22,28.68,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2024-01-11 05:00:00-05:00,14.78,14.74,-0.3,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2023-10-12 06:00:00-04:00,15.13,14.99,-0.92,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2023-07-20 06:00:00-04:00,14.83,14.35,-3.22,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2023-04-13 06:00:00-04:00,15.78,14.77,-6.38,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2023-01-12 05:00:00-05:00,15.52,15.7,1.18,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2022-10-13 06:00:00-04:00,14.09,14.34,1.79,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2022-07-24 08:00:00-04:00,13.44,12.76,-5.05,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2022-04-13 06:00:00-04:00,14.16,13.54,-4.35,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2022-01-12 05:00:00-05:00,13.56,13.83,1.98,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2021-10-13 06:00:00-04:00,12.45,12.85,3.21,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2021-07-14 06:00:00-04:00,12.64,12.21,-3.38,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2021-04-14 06:00:00-04:00,12.17,11.94,-1.89,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,2021-01-13 05:00:00-05:00,11.89,12.23,2.87,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
