Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MARICO,2026-01-30 05:00:00-05:00,3.37,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICO,2025-11-14 02:00:00-05:00,3.36,3.24,-3.7,2025-09-30,0.0,0.214545,6090000000.0,4200000000.0,470000000.0,19970000000.0,6090000000.0,5620000000.0,-120000000.0,120000000.0,4200000000.0,4200000000.0,29690000000.0,1296296296.0,1296296296.0,3.24,3.24,4200000000.0,4200000000.0,0.0,4200000000.0,-120000000.0,4320000000.0,4320000000.0,1180000000.0,5500000000.0,490000000.0,-120000000.0,120000000.0,5130000000.0,9720000000.0,3620000000.0,470000000.0,470000000.0,3450000000.0,3450000000.0,14850000000.0,19970000000.0,34820000000.0,34820000000.0,904037068478.2588
MARICO,2025-08-04 04:00:00-04:00,3.76,3.89,3.49,2025-06-30,0.0,0.217988,7110000000.0,5040000000.0,450000000.0,17300000000.0,7110000000.0,6660000000.0,-100000000.0,100000000.0,5040000000.0,5040000000.0,26490000000.0,1295629820.0,1292307692.0,3.89,3.9,5040000000.0,5040000000.0,0.0,5040000000.0,-90000000.0,5130000000.0,5130000000.0,1430000000.0,6560000000.0,560000000.0,-100000000.0,100000000.0,6100000000.0,9190000000.0,3550000000.0,450000000.0,450000000.0,2990000000.0,2990000000.0,15290000000.0,17300000000.0,32590000000.0,32590000000.0,924292314984.2572
MARICO,2025-05-02 06:00:00-04:00,2.68,2.65,-1.13,2025-03-31,0.0,0.217687,4860000000.0,3430000000.0,510000000.0,17040000000.0,4860000000.0,4350000000.0,650000000.0,-60000000.0,3430000000.0,3430000000.0,22230000000.0,,,,,3430000000.0,3430000000.0,0.0,3430000000.0,-20000000.0,3450000000.0,3450000000.0,960000000.0,4410000000.0,-1320000000.0,650000000.0,-60000000.0,4090000000.0,5190000000.0,-5270000000.0,510000000.0,410000000.0,8420000000.0,7540000000.0,9280000000.0,17040000000.0,26320000000.0,26320000000.0,
MARICO,2025-01-31 03:00:00-05:00,3.1,3.07,-0.97,2024-12-31,0.0,0.216216,5750000000.0,3990000000.0,440000000.0,14110000000.0,5750000000.0,5310000000.0,-130000000.0,130000000.0,3990000000.0,3990000000.0,23050000000.0,1299674267.0,1295454545.0,3.07,3.08,3990000000.0,3990000000.0,0.0,3990000000.0,-70000000.0,4060000000.0,4060000000.0,1120000000.0,5180000000.0,420000000.0,-130000000.0,130000000.0,4890000000.0,8940000000.0,3500000000.0,440000000.0,440000000.0,2930000000.0,2930000000.0,13830000000.0,14110000000.0,27940000000.0,27940000000.0,815933316031.1792
MARICO,2024-10-29 06:00:00-04:00,2.99,3.26,8.96,2024-09-30,0.0,0.21558,6040000000.0,4230000000.0,410000000.0,13110000000.0,6040000000.0,5630000000.0,-110000000.0,110000000.0,4230000000.0,4230000000.0,21830000000.0,1297546012.0,1297546012.0,3.26,3.26,4230000000.0,4230000000.0,0.0,4230000000.0,-100000000.0,4330000000.0,4330000000.0,1190000000.0,5520000000.0,820000000.0,-110000000.0,110000000.0,4810000000.0,8720000000.0,3280000000.0,410000000.0,410000000.0,2900000000.0,2900000000.0,13530000000.0,13110000000.0,26640000000.0,26640000000.0,888688265750.1628
MARICO,2024-08-05 04:00:00-04:00,3.53,3.59,1.73,2024-06-30,,,,,,,,,,,,,,1292479109.0,1288888889.0,3.59,3.6,,,,,,,,,,,,,,,,,,,,,,,,778158249307.5339
MARICO,2024-05-06 05:00:00-04:00,2.58,2.45,-4.91,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICO,2024-01-29 05:00:00-05:00,2.84,2.96,4.29,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICO,2023-10-30 06:00:00-04:00,2.77,2.73,-1.42,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
