Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MARUTI,2026-01-29 05:00:00-05:00,126.89,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2025-10-31 04:00:00-04:00,119.09,104.74,-12.05,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2025-07-31 05:00:00-04:00,98.84,118.06,19.45,2025-06-30,0.0,0.232851,65463000000.0,37924000000.0,15560000000.0,272728000000.0,65463000000.0,49903000000.0,-468000000.0,468000000.0,37924000000.0,37924000000.0,335575000000.0,314408887.0,314408887.0,120.62,120.62,37924000000.0,37924000000.0,0.0,37924000000.0,0.0,37924000000.0,37924000000.0,11511000000.0,49435000000.0,18882000000.0,-468000000.0,468000000.0,30666000000.0,62847000000.0,46615000000.0,15560000000.0,15560000000.0,93513000000.0,272728000000.0,366241000000.0,366241000000.0,3856925050092.461
MARUTI,2025-04-25 04:00:00-04:00,122.67,118.04,-3.77,2025-03-31,0.0,0.204689,64271000000.0,39111000000.0,14618000000.0,353792000000.0,64271000000.0,49653000000.0,3853000000.0,476000000.0,39111000000.0,39111000000.0,378610000000.0,,,,,39111000000.0,39111000000.0,0.0,39111000000.0,0.0,39111000000.0,39111000000.0,10066000000.0,49177000000.0,-34011000000.0,3853000000.0,476000000.0,33396000000.0,24818000000.0,-75303000000.0,14618000000.0,12792000000.0,58214000000.0,353792000000.0,412006000000.0,412006000000.0,
MARUTI,2025-01-29 03:00:00-05:00,118.26,112.12,-5.19,2024-12-31,0.0,0.211405,62013000000.0,37269000000.0,14290000000.0,272311000000.0,62013000000.0,47723000000.0,-463000000.0,463000000.0,37269000000.0,37269000000.0,331576000000.0,314400202.0,314400202.0,118.54,118.54,37269000000.0,37269000000.0,0.0,37269000000.0,0.0,37269000000.0,37269000000.0,9991000000.0,47260000000.0,10577000000.0,-463000000.0,463000000.0,36475000000.0,59265000000.0,46701000000.0,14290000000.0,14290000000.0,95740000000.0,272311000000.0,368051000000.0,368051000000.0,3377329033192.2754
MARUTI,2024-10-29 03:00:00-04:00,124.26,97.62,-21.44,2024-09-30,0.0,0.396471,65693000000.0,31025000000.0,13857000000.0,264283000000.0,65693000000.0,51836000000.0,-430000000.0,430000000.0,31025000000.0,31025000000.0,319734000000.0,314400081.0,314400081.0,98.68,98.68,31025000000.0,31025000000.0,0.0,31025000000.0,0.0,31025000000.0,31025000000.0,20381000000.0,51406000000.0,15232000000.0,-430000000.0,430000000.0,36131000000.0,55451000000.0,43414000000.0,13857000000.0,13857000000.0,91582000000.0,264283000000.0,355865000000.0,355865000000.0,4117463288921.5664
MARUTI,2024-07-31 05:00:00-04:00,105.22,116.09,10.33,2024-06-30,0.0,0.222512,62247000000.0,37597000000.0,13317000000.0,245923000000.0,62247000000.0,48930000000.0,-573000000.0,573000000.0,37597000000.0,37597000000.0,301015000000.0,314408764.0,314408764.0,119.58,119.58,37597000000.0,37597000000.0,0.0,37597000000.0,0.0,37597000000.0,37597000000.0,10760000000.0,48357000000.0,10605000000.0,-573000000.0,573000000.0,37749000000.0,55092000000.0,43226000000.0,13317000000.0,13317000000.0,92841000000.0,245923000000.0,338764000000.0,338764000000.0,3708011997413.9023
MARUTI,2024-04-26 06:00:00-04:00,124.12,123.34,-0.63,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2024-01-31 03:00:00-05:00,97.57,101.9,4.44,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2023-10-27 04:00:00-04:00,107.27,123.03,14.69,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2023-07-31 06:00:00-04:00,79.83,82.27,3.05,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2023-04-26 05:00:00-04:00,85.62,86.85,1.44,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2023-01-24 02:00:00-05:00,62.21,77.84,25.12,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2022-10-28 04:00:00-04:00,62.1,68.24,9.89,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2022-07-27 05:00:00-04:00,52.34,33.53,-35.94,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2022-04-30 01:00:00-04:00,48.6,60.87,25.25,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2022-01-25 03:00:00-05:00,32.55,33.48,2.85,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2021-10-27 04:00:00-04:00,24.06,15.73,-34.61,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2021-07-28 05:00:00-04:00,29.55,14.59,-50.62,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2021-04-27 04:00:00-04:00,57.76,38.6,-33.17,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2021-01-28 03:00:00-05:00,60.87,64.27,5.58,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2020-10-29 04:00:00-04:00,51.05,45.41,-11.05,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2020-07-29 04:00:00-04:00,-15.31,-8.26,46.06,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2020-05-13 05:00:00-04:00,46.67,42.76,-8.38,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,2020-01-28 03:00:00-05:00,55.99,51.8,-7.49,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
