Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
MPHASIS,2026-01-22 05:00:00-05:00,25.11,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHASIS,2025-10-30 14:00:00-04:00,24.43,24.54,0.47,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHASIS,2025-07-23 20:00:00-04:00,23.99,23.14,-3.55,2025-06-30,0.0,0.275981,7838160000.0,4417030000.0,1319220000.0,21444890000.0,7838160000.0,6518940000.0,-418230000.0,418230000.0,4417030000.0,4417030000.0,31615430000.0,190882887.0,190225237.0,23.14,23.22,4417030000.0,4417030000.0,0.0,4417030000.0,0.0,4417030000.0,4417030000.0,1683680000.0,6100710000.0,809480000.0,-418230000.0,418230000.0,5709460000.0,10170540000.0,8851320000.0,1319220000.0,1319220000.0,15880000000.0,21444890000.0,37324890000.0,37324890000.0,530663299955.0307
MPHASIS,2025-04-24 13:00:00-04:00,23.53,23.41,-0.5,2025-03-31,0.0,0.244643,7625140000.0,4464920000.0,1353460000.0,38585540000.0,7625140000.0,6271680000.0,566560000.0,360670000.0,4464920000.0,4464920000.0,31428280000.0,,,,,4464920000.0,4464920000.0,0.0,4464920000.0,0.0,4464920000.0,4464920000.0,1446090000.0,5911010000.0,-1893750000.0,566560000.0,360670000.0,5672130000.0,-7157260000.0,-19508110000.0,1353460000.0,-670400000.0,-1485130000.0,38585540000.0,37100410000.0,37100410000.0,
MPHASIS,2025-01-23 09:00:00-05:00,22.37,22.41,0.18,2024-12-31,0.0,0.248342,7407480000.0,4278070000.0,1324210000.0,19890000000.0,7407480000.0,6083270000.0,-391760000.0,391760000.0,4278070000.0,4278070000.0,30157620000.0,190900045.0,189462799.0,22.41,22.58,4278070000.0,4278070000.0,0.0,4278070000.0,0.0,4278070000.0,4278070000.0,1413440000.0,5691510000.0,627510000.0,-391760000.0,391760000.0,5455760000.0,10267620000.0,8943410000.0,1324210000.0,1324210000.0,15723380000.0,19890000000.0,35613380000.0,35613380000.0,528870694138.4605
MPHASIS,2024-10-14 20:00:00-04:00,22.11,22.18,0.34,2024-09-30,0.0,0.247506,7066230000.0,4233320000.0,1035570000.0,20140120000.0,7066230000.0,6030660000.0,-404940000.0,404940000.0,4233320000.0,4233320000.0,29918300000.0,190862038.0,189156390.0,22.18,22.38,4233320000.0,4233320000.0,0.0,4233320000.0,0.0,4233320000.0,4233320000.0,1392400000.0,5625720000.0,587500000.0,-404940000.0,404940000.0,5443160000.0,9778180000.0,8742610000.0,1035570000.0,1035570000.0,15221340000.0,20140120000.0,35361460000.0,35361460000.0,558280953772.6611
MPHASIS,2024-07-25 12:00:00-04:00,21.24,21.25,0.06,2024-06-30,0.0,0.247173,6920960000.0,4045080000.0,1050130000.0,20340290000.0,6920960000.0,5870830000.0,-497640000.0,497640000.0,4045080000.0,4045080000.0,29089240000.0,190356706.0,189022430.0,21.25,21.4,4045080000.0,4045080000.0,0.0,4045080000.0,0.0,4045080000.0,4045080000.0,1328110000.0,5373190000.0,735450000.0,-497640000.0,497640000.0,5135380000.0,8748950000.0,7698820000.0,1050130000.0,1050130000.0,13884330000.0,20340290000.0,34224620000.0,34224620000.0,445618117470.34424
MPHASIS,2024-04-25 13:00:00-04:00,20.49,20.65,0.78,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHASIS,2024-02-01 06:00:00-05:00,20.56,19.64,-4.5,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHASIS,2023-10-19 17:00:00-04:00,21.42,20.62,-3.72,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
