Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
NTPC,2026-01-29 05:00:00-05:00,6.58,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC,2025-10-30 09:00:00-04:00,4.8,4.8,,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC,2025-07-29 10:00:00-04:00,4.2,4.92,17.14,2025-06-30,0.0,0.287717,138122600000.0,40032800000.0,45870000000.0,263459700000.0,138122600000.0,92252600000.0,-34675200000.0,34675200000.0,40032800000.0,40032800000.0,390724200000.0,9694516129.0,9694516129.0,6.2,6.2,60106000000.0,60106000000.0,0.0,60106000000.0,-978600000.0,61084600000.0,20073200000.0,41011400000.0,16566000000.0,57577400000.0,7557500000.0,-34675200000.0,34675200000.0,79929400000.0,127264500000.0,65551000000.0,45870000000.0,45870000000.0,207193900000.0,263459700000.0,470653600000.0,470653600000.0,3187094070542.098
NTPC,2025-05-24 07:00:00-04:00,7.13,7.85,10.15,2025-03-31,0.0,0.327333,160655000000.0,53152400000.0,46630700000.0,341796000000.0,160655000000.0,114024300000.0,-5960400000.0,30756300000.0,53152400000.0,53152400000.0,382371400000.0,,,,,76112200000.0,76112200000.0,0.0,76112200000.0,-2859200000.0,78971400000.0,22959800000.0,56011600000.0,27256400000.0,83268000000.0,-4967600000.0,-5960400000.0,30756300000.0,97394200000.0,40575400000.0,-80381400000.0,46630700000.0,46184700000.0,137969600000.0,341796000000.0,479765600000.0,479765600000.0,
NTPC,2025-01-25 07:00:00-05:00,5.39,5.22,-3.08,2024-12-31,0.0,0.273478,146697400000.0,54056000000.0,43183000000.0,258234900000.0,146697400000.0,103514400000.0,-27635400000.0,27635400000.0,54056000000.0,54056000000.0,357040000000.0,9698295019.0,9698295019.0,5.22,5.22,50625100000.0,50625100000.0,0.0,50625100000.0,-1071800000.0,51696900000.0,-3430900000.0,55127800000.0,20751200000.0,75879000000.0,5451300000.0,-27635400000.0,27635400000.0,93488200000.0,98805100000.0,39390800000.0,43183000000.0,43183000000.0,192293300000.0,258234900000.0,450528200000.0,450528200000.0,3149016977137.2793
NTPC,2024-10-24 11:00:00-04:00,5.19,5.44,4.82,2024-09-30,0.0,0.353743,125464500000.0,29383700000.0,42156200000.0,254383000000.0,125464500000.0,83308300000.0,-36205800000.0,36205800000.0,29383700000.0,29383700000.0,372566900000.0,9695937500.0,9695937500.0,5.44,5.44,52745900000.0,52745900000.0,0.0,52745900000.0,-1056600000.0,53802500000.0,23362200000.0,30440300000.0,16662200000.0,47102500000.0,4917200000.0,-36205800000.0,36205800000.0,74493600000.0,118183900000.0,60644900000.0,42156200000.0,42156200000.0,192677500000.0,254383000000.0,447060500000.0,447060500000.0,4160089505357.742
NTPC,2024-07-27 06:00:00-04:00,5.61,6.25,11.36,2024-06-30,0.0,0.225905,152115700000.0,60613300000.0,42042000000.0,292856300000.0,152115700000.0,110073700000.0,-31359100000.0,31359100000.0,60613300000.0,60613300000.0,387082700000.0,9688743363.0,9688743363.0,5.65,5.65,54741400000.0,54741400000.0,0.0,54741400000.0,-319300000.0,55060700000.0,-5871900000.0,60932600000.0,17782000000.0,78714600000.0,4528000000.0,-31359100000.0,31359100000.0,98206100000.0,94226400000.0,35887000000.0,42042000000.0,42042000000.0,192432500000.0,292856300000.0,485288800000.0,485288800000.0,3520949301406.254
NTPC,2024-05-24 10:00:00-04:00,5.27,6.58,24.76,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC,2024-01-29 10:00:00-05:00,5.0,3.84,-23.27,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC,2023-10-28 07:00:00-04:00,4.57,4.76,4.27,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
