Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
NYKAA,2026-02-09 05:00:00-05:00,0.25,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYKAA,2025-11-07 05:00:00-05:00,0.12,0.12,-0.74,2025-09-30,-3120000.0,0.3,1669800000.0,-10400000.0,-10400000.0,344300000.0,790900000.0,12924400000.0,1659400000.0,868500000.0,-314700000.0,314700000.0,351580000.0,344300000.0,22661200000.0,2869166667.0,2869166667.0,0.12,0.12,344300000.0,344300000.0,0.0,344300000.0,14500000.0,329800000.0,329800000.0,224000000.0,553800000.0,80300000.0,-10400000.0,10400000.0,-314700000.0,314700000.0,798600000.0,9736800000.0,7118200000.0,790900000.0,790900000.0,10535400000.0,12924400000.0,23459800000.0,23459800000.0,666736964087.0629
NYKAA,2025-08-12 06:00:00-04:00,0.13,0.08,-40.71,2025-06-30,0.0,0.3,1500100000.0,,,233200000.0,761400000.0,11934300000.0,1500100000.0,738700000.0,-301600000.0,301600000.0,233200000.0,233200000.0,20904000000.0,2915000000.0,2915000000.0,0.08,0.08,233200000.0,233200000.0,0.0,233200000.0,-11500000.0,244700000.0,244700000.0,192400000.0,437100000.0,93300000.0,,,-301600000.0,301600000.0,645400000.0,8969700000.0,6388100000.0,761400000.0,761400000.0,9615100000.0,11934300000.0,21549400000.0,21549400000.0,607456848220.8252
NYKAA,2025-05-30 07:00:00-04:00,0.1,0.07,-33.27,2025-03-31,0.0,0.3,1401300000.0,,,202900000.0,729000000.0,12314900000.0,1401300000.0,672300000.0,-105300000.0,276800000.0,202900000.0,202900000.0,19318000000.0,,,,,202900000.0,202900000.0,0.0,202900000.0,12400000.0,190500000.0,190500000.0,205000000.0,395500000.0,-181800000.0,,,-105300000.0,276800000.0,648400000.0,7003100000.0,-11853600000.0,729000000.0,386200000.0,7651500000.0,12314900000.0,19966400000.0,19966400000.0,
NYKAA,2025-02-10 05:00:00-05:00,0.15,0.09,-40.66,2024-12-31,0.0,0.394749,1463100000.0,,,261200000.0,698200000.0,12760700000.0,1463100000.0,764900000.0,-319300000.0,319300000.0,261200000.0,261200000.0,21962500000.0,2902222222.0,2902222222.0,0.09,0.09,261200000.0,261200000.0,0.0,261200000.0,-2900000.0,264100000.0,264100000.0,175900000.0,445600000.0,55300000.0,,,-319300000.0,319300000.0,709600000.0,9201800000.0,6757600000.0,698200000.0,698200000.0,9911400000.0,12760700000.0,22672100000.0,22672100000.0,475267895132.3371
NYKAA,2024-11-12 05:00:00-05:00,0.12,0.04,-65.96,2024-09-30,0.0,0.367827,1091100000.0,0.0,0.0,100400000.0,636200000.0,10537200000.0,1091100000.0,454900000.0,-242300000.0,242300000.0,100400000.0,100400000.0,18347000000.0,2510000000.0,2510000000.0,0.04,0.04,100400000.0,100400000.0,0.0,100400000.0,-29300000.0,129700000.0,129700000.0,78200000.0,212600000.0,54500000.0,0.0,,-242300000.0,242300000.0,400400000.0,7809800000.0,5558700000.0,636200000.0,636200000.0,8210200000.0,10537200000.0,18747400000.0,18747400000.0,490981101531.9824
NYKAA,2024-08-13 06:00:00-04:00,0.09,0.03,-65.78,2024-06-30,,,,,,,,,,,,,,,,3213333333.0,3213333333.0,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,566960541119.572
NYKAA,2024-05-22 06:00:00-04:00,0.05,0.02,-62.55,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYKAA,2024-02-06 05:00:00-05:00,0.14,0.06,-56.53,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYKAA,2023-11-06 05:00:00-05:00,0.09,0.02,-78.08,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
