Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ONGC,2026-01-30 05:00:00-05:00,7.2,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONGC,2025-11-10 11:00:00-05:00,8.27,8.58,3.81,2025-09-30,-2983229638.033789,0.270166,217994100000.0,-11042200000.0,-11042200000.0,107848800000.0,1040407300000.0,206951900000.0,206951900000.0,-34109800000.0,34109800000.0,115907770361.96622,107848800000.0,1254661800000.0,12569790210.0,12569790210.0,8.58,8.58,107848800000.0,107848800000.0,0.0,107848800000.0,-18297200000.0,126146000000.0,126146000000.0,46696100000.0,172842100000.0,-109851300000.0,-11042200000.0,1900000.0,11040300000.0,-34109800000.0,34109800000.0,324449000000.0,214254500000.0,196463600000.0,538703500000.0,1040407300000.0,1579110800000.0,1579110800000.0,2938458323874.2656
ONGC,2025-08-12 12:00:00-04:00,6.14,6.38,3.91,2025-06-30,-4590140989.052512,0.25498,206501900000.0,-18002000000.0,-18002000000.0,98040700000.0,1113468400000.0,188499900000.0,188499900000.0,-33414100000.0,33414100000.0,111452559010.9475,98040700000.0,1326630600000.0,12585455712.0,12585455712.0,7.79,7.79,98040700000.0,98040700000.0,0.0,98040700000.0,-17501400000.0,115542100000.0,115542100000.0,39543700000.0,155085800000.0,-95669800000.0,-18002000000.0,185600000.0,17816400000.0,-33414100000.0,33414100000.0,304450600000.0,213162200000.0,194278500000.0,517612800000.0,1113468400000.0,1631081200000.0,1631081200000.0,2984294691342.51
ONGC,2025-05-21 12:00:00-04:00,8.53,5.9,-30.77,2025-03-31,-20339720766.535797,0.319056,201865260000.0,-63749770000.0,-63749770000.0,73228330000.0,1366214310000.0,138115490000.0,138115490000.0,49244950000.0,8055680000.0,116638379233.4642,73228330000.0,1355118840000.0,,,,,73228330000.0,73228330000.0,0.0,73228330000.0,-15335170000.0,88563500000.0,88563500000.0,41496310000.0,130059810000.0,328355240000.0,-68474190000.0,,58594210000.0,49244950000.0,8055680000.0,-190115690000.0,-11095470000.0,-195884840000.0,-201211160000.0,1366214310000.0,1165003150000.0,1165003150000.0,
ONGC,2025-01-31 09:00:00-05:00,7.63,6.55,-14.1,2024-12-31,-5340422346.897951,0.276475,191235400000.0,-19316100000.0,-19316100000.0,86216900000.0,1142601400000.0,171919300000.0,171919300000.0,-36697400000.0,36697400000.0,100192577653.10204,86216900000.0,1353509400000.0,12586408759.0,12586408759.0,6.85,6.85,86216900000.0,86216900000.0,0.0,86216900000.0,-11619500000.0,97836400000.0,97836400000.0,37385500000.0,135221900000.0,-112575200000.0,-19316100000.0,,19316100000.0,-36697400000.0,36697400000.0,307457400000.0,210908000000.0,191727200000.0,518365400000.0,1142601400000.0,1660966800000.0,1660966800000.0,2866829615268.483
ONGC,2024-11-11 07:00:00-05:00,8.58,8.17,-4.78,2024-09-30,-2854011097.836187,0.222358,177662400000.0,-12835200000.0,-12835200000.0,102354600000.0,1117834500000.0,164827200000.0,164827200000.0,-38272800000.0,38272800000.0,112335788902.16382,102354600000.0,1338884300000.0,12589741697.0,12589741697.0,8.13,8.13,102354600000.0,102354600000.0,0.0,102354600000.0,3940600000.0,98414000000.0,98414000000.0,28140400000.0,126554400000.0,-76642300000.0,-12835200000.0,240400000.0,12594800000.0,-38272800000.0,38272800000.0,254426200000.0,221049800000.0,202666400000.0,475476000000.0,1117834500000.0,1593310500000.0,1593310500000.0,3481571886967.849
ONGC,2024-08-05 10:00:00-04:00,6.3,7.1,12.7,2024-06-30,,,,,,,,,,,,,,,12578083228.0,12578083228.0,7.93,7.93,,,,,,,,,,,,,,,,,,,,,,,3180147129924.7666
ONGC,2024-05-20 13:00:00-04:00,11.97,9.08,-24.14,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONGC,2024-02-10 12:00:00-05:00,6.9,7.58,9.86,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONGC,2023-11-10 08:00:00-05:00,8.76,10.86,24.01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
