Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue,Market Cap
RECLTD,2026-02-05 05:00:00-05:00,15.41,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2025-10-17 09:00:00-04:00,15.91,16.81,5.67,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2025-07-24 06:00:00-04:00,14.99,16.9,12.74,2025-06-30,0.0,0.211898,,,44657100000.0,67000000.0,55781400000.0,89341800000.0,145123200000.0,44657100000.0,44657100000.0,2633083726.0,2633083726.0,16.96,16.96,44657100000.0,44657100000.0,44657100000.0,44657100000.0,,44657100000.0,12007000000.0,56664100000.0,,,-5765000000.0,1403400000.0,696600000.0,67000000.0,,67000000.0,,,,,,51969600000.0,51969600000.0,1027345411054.1316
RECLTD,2025-05-08 10:00:00-04:00,16.4,15.97,-2.62,2025-03-31,-4255498.379749,0.214924,-19800000.0,-19800000.0,43099800000.0,65000000.0,61734600000.0,87664000000.0,149398600000.0,43115344501.620255,43099800000.0,,,,,43099800000.0,43099800000.0,43099800000.0,43099800000.0,0.0,43099800000.0,11799100000.0,54898900000.0,-19800000.0,19800000.0,-155700000.0,2024700000.0,942800000.0,64900000.0,800000.0,64100000.0,149200000.0,58900000.0,90300000.0,2100000.0,9700000.0,64769100000.0,64769100000.0,
RECLTD,2025-02-06 04:00:00-05:00,15.27,15.3,0.22,2024-12-31,0.0,0.213207,,,40763500000.0,63100000.0,51406100000.0,88370200000.0,139776300000.0,40763500000.0,40763500000.0,2633301034.0,2633301034.0,15.48,15.48,40763500000.0,40763500000.0,40763500000.0,40763500000.0,,40763500000.0,11046200000.0,51809700000.0,,,834500000.0,2584600000.0,1973200000.0,63100000.0,,63100000.0,,,,,,53560300000.0,53560300000.0,1254710242806.517
RECLTD,2024-10-26 06:00:00-04:00,13.8,15.21,10.22,2024-09-30,0.0,0.207885,,,40377200000.0,59700000.0,49792100000.0,85056100000.0,134848200000.0,40377200000.0,40377200000.0,2633868232.0,2633868232.0,15.33,15.33,40377200000.0,40377200000.0,40377200000.0,40377200000.0,,40377200000.0,10596700000.0,50973900000.0,,,-29400000.0,1566300000.0,851800000.0,59800000.0,,59800000.0,,,,,,51157800000.0,51157800000.0,1379311330577.8916
RECLTD,2024-07-27 05:00:00-04:00,13.4,13.07,-2.46,2024-06-30,0.0,0.204413,-11400000.0,-11400000.0,34601900000.0,59200000.0,46752400000.0,80202500000.0,126954900000.0,34601900000.0,34601900000.0,2633325723.0,2633325723.0,13.14,13.14,34601900000.0,34601900000.0,34601900000.0,34601900000.0,,34601900000.0,8890400000.0,43492300000.0,-11400000.0,11400000.0,2860500000.0,1597300000.0,914800000.0,59200000.0,,59200000.0,107900000.0,49600000.0,58300000.0,2900000.0,25800000.0,49757100000.0,49757100000.0,1298819684917.5154
RECLTD,2024-04-30 05:00:00-04:00,12.8,15.13,18.2,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2024-01-23 03:00:00-05:00,14.15,12.42,-12.23,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2023-10-31 21:00:00-04:00,10.4,14.33,37.79,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2023-07-26 08:00:00-04:00,10.4,11.24,8.08,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2023-05-17 07:00:00-04:00,10.6,11.27,6.32,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECLTD,2023-01-30 08:00:00-05:00,10.7,10.93,2.15,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
