Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 05:00:00-05:00,,,
2025-10-17 05:00:00-04:00,7.55,7.56,0.13
2025-07-17 07:00:00-04:00,6.6,6.95,5.3
2025-04-23 06:00:00-04:00,6.5,6.17,-5.08
2025-01-27 06:00:00-05:00,6.57,6.96,6.01
2024-10-21 08:00:00-04:00,5.8,6.47,11.55
2024-07-30 08:00:00-04:00,5.7,8.83,54.91
2024-04-23 08:00:00-04:00,5.5,6.52,18.55
2024-01-18 07:00:00-05:00,5.2,5.21,0.19
2023-11-02 08:00:00-04:00,4.8,5.08,5.83
2023-05-04 10:00:00-04:00,4.3,4.26,-0.93
2023-01-19 07:00:00-05:00,4.5,4.72,4.78
2022-10-19 09:00:00-04:00,4.25,4.81,13.18
2022-07-25 09:00:00-04:00,3.4,4.36,28.09
2022-05-04 09:00:00-04:00,3.73,4.57,22.75
2022-02-03 06:00:00-05:00,3.55,4.23,19.15
2021-08-03 08:00:00-04:00,2.85,3.28,15.09
2021-05-18 05:00:00-04:00,2.53,2.91,15.25
2021-02-02 03:00:00-05:00,2.63,2.73,4.1
2020-10-28 05:00:00-04:00,2.03,2.47,21.85
2020-01-21 19:00:00-05:00,2.13,2.1,-1.18
