Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 05:00:00-05:00,11.85,,
2025-11-12 04:00:00-05:00,9.64,10.36,7.47
2025-07-29 04:00:00-04:00,11.02,11.47,4.12
2025-05-08 09:00:00-04:00,11.32,8.53,-24.63
2025-02-04 03:00:00-05:00,12.36,11.58,-6.32
2024-11-09 04:00:00-05:00,11.38,8.61,-24.33
2024-07-17 04:00:00-04:00,14.01,12.2,-12.92
2024-05-09 04:00:00-04:00,14.05,13.1,-6.77
2024-01-17 04:00:00-05:00,14.17,15.1,6.6
2023-10-26 04:00:00-04:00,12.86,12.57,-2.29
2023-07-25 03:00:00-04:00,13.37,16.17,20.94
2023-05-11 04:00:00-04:00,12.04,13.06,8.43
2023-01-19 08:00:00-05:00,10.68,11.19,4.77
2022-10-20 04:00:00-04:00,9.88,8.16,-17.38
2022-07-26 04:00:00-04:00,9.16,10.79,17.8
2022-05-10 04:00:00-04:00,9.02,9.76,8.14
2022-01-20 03:00:00-05:00,10.73,10.59,-1.26
2021-10-21 03:00:00-04:00,8.87,6.21,-29.97
2021-07-20 04:00:00-04:00,6.99,5.93,-15.16
2021-05-12 05:00:00-04:00,8.54,8.88,4.0
2021-01-21 03:00:00-05:00,9.55,12.91,35.14
2020-10-22 05:00:00-04:00,6.52,8.66,32.83
2020-07-24 05:00:00-04:00,1.76,2.28,29.5
2020-06-23 09:00:00-04:00,5.39,4.82,-10.52
2020-01-22 04:00:00-05:00,8.26,7.97,-3.48
