Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 05:00:00-05:00,14.76,,
2025-10-31 06:00:00-04:00,12.56,14.78,17.65
2025-08-13 06:00:00-04:00,17.2,14.33,-16.69
2025-04-29 06:00:00-04:00,8.48,7.52,-11.32
2025-01-22 05:00:00-05:00,11.55,10.88,-5.77
2024-10-25 05:00:00-04:00,9.28,5.61,-39.56
2024-07-19 10:00:00-04:00,5.31,7.06,32.96
2024-05-09 08:00:00-04:00,13.43,11.4,-15.09
2024-01-29 03:00:00-05:00,5.69,7.98,40.16
2023-10-27 09:00:00-04:00,4.87,19.85,308.02
2023-07-26 05:00:00-04:00,20.17,24.78,22.85
2023-05-22 10:00:00-04:00,19.44,18.27,-6.02
2023-01-30 07:00:00-05:00,6.81,4.51,-33.85
2022-11-07 10:00:00-05:00,-5.45,-0.47,91.46
2022-08-06 10:00:00-04:00,3.46,-14.23,-511.16
2022-05-25 10:00:00-04:00,3.51,3.81,8.45
2022-01-31 07:00:00-05:00,2.5,7.23,189.15
2021-10-29 08:00:00-04:00,4.81,7.4,53.91
2021-08-12 04:00:00-04:00,5.03,4.24,-15.61
2021-05-27 06:00:00-04:00,4.94,11.82,139.42
2021-02-09 01:00:00-05:00,5.0,7.74,54.72
2020-10-29 03:00:00-04:00,3.41,5.93,74.02
2020-08-13 08:00:00-04:00,6.47,5.28,-18.35
2020-06-03 09:00:00-04:00,-1.93,-1.65,14.4
2020-02-13 10:00:00-05:00,4.14,3.21,-22.62
