Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 05:00:00-05:00,15.0,,
2025-10-30 03:00:00-04:00,16.34,16.72,2.32
2025-07-25 03:00:00-04:00,14.97,16.06,7.27
2025-05-13 04:00:00-04:00,13.02,15.12,16.13
2025-01-28 03:00:00-05:00,14.79,19.43,31.36
2024-10-29 04:00:00-04:00,14.97,16.12,7.67
2024-07-26 05:00:00-04:00,13.84,13.07,-5.55
2024-05-10 05:00:00-04:00,10.72,11.62,8.41
2024-01-22 08:00:00-05:00,12.97,11.32,-12.7
2023-10-27 04:00:00-04:00,12.34,14.0,13.47
2023-07-26 05:00:00-04:00,10.97,12.33,12.42
2023-05-12 05:00:00-04:00,9.34,8.1,-13.35
2023-01-25 03:00:00-05:00,11.27,9.92,-12.01
2022-11-04 04:00:00-04:00,9.54,9.77,2.41
2022-07-29 06:00:00-04:00,7.73,8.5,9.92
2022-05-10 09:00:00-04:00,6.76,5.08,-24.92
2022-01-25 09:00:00-05:00,8.94,9.02,0.95
2021-10-26 09:00:00-04:00,8.78,8.8,0.21
2021-08-05 09:00:00-04:00,8.44,9.95,18.0
2021-05-14 08:00:00-04:00,6.84,5.12,-25.17
2021-01-29 06:00:00-05:00,7.16,9.26,29.25
2020-11-06 07:00:00-05:00,7.01,8.24,17.53
2020-08-07 08:00:00-04:00,4.01,7.16,78.55
2020-05-15 09:00:00-04:00,4.35,3.05,-29.9
2020-02-05 05:00:00-05:00,5.46,4.35,-20.36
