Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 05:00:00-05:00,3.0,,
2025-11-14 07:00:00-05:00,3.83,2.6,-32.17
2025-08-05 04:00:00-04:00,3.62,3.77,4.14
2025-04-30 04:00:00-04:00,3.41,3.0,-11.98
2025-01-28 07:00:00-05:00,3.29,2.88,-12.55
2024-11-04 02:00:00-05:00,3.85,3.5,-9.0
2024-07-30 04:00:00-04:00,3.95,3.29,-16.62
2024-04-30 04:00:00-04:00,3.15,3.34,5.89
2024-01-24 02:00:00-05:00,3.09,2.83,-8.38
2023-11-06 02:00:00-05:00,3.18,3.37,6.12
2023-07-28 04:00:00-04:00,3.09,2.85,-7.89
2023-05-08 03:00:00-04:00,2.87,2.44,-15.11
2023-01-30 06:00:00-05:00,3.0,2.63,-12.33
2022-11-11 03:00:00-05:00,2.76,2.9,4.98
2022-07-29 05:00:00-04:00,2.45,2.66,8.63
2022-05-05 04:00:00-04:00,2.51,2.65,5.61
2022-01-31 03:00:00-05:00,2.63,2.4,-8.86
2021-10-29 06:00:00-04:00,2.25,2.75,22.08
2021-07-30 05:00:00-04:00,2.0,1.48,-26.0
2021-04-29 06:00:00-04:00,2.5,2.87,14.91
2021-01-29 03:00:00-05:00,2.5,2.84,13.69
2020-11-10 03:00:00-05:00,2.43,2.69,10.9
2020-08-03 07:00:00-04:00,0.41,0.52,26.83
2020-06-05 06:00:00-04:00,1.73,1.97,13.7
2020-02-04 03:00:00-05:00,2.23,2.53,13.59
