Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 05:00:00-05:00,3.58,,
2025-11-11 09:00:00-05:00,3.57,4.02,12.7
2025-08-05 20:00:00-04:00,2.77,3.32,19.9
2025-05-20 09:00:00-04:00,3.01,3.01,
2025-02-07 07:00:00-05:00,2.37,2.99,26.3
2024-11-08 07:00:00-05:00,2.69,2.92,8.66
2024-08-06 10:00:00-04:00,2.07,2.2,6.18
2024-05-23 09:00:00-04:00,1.97,2.34,18.72
2024-02-07 09:00:00-05:00,1.98,1.71,-13.67
2023-11-10 08:00:00-05:00,2.39,2.26,-5.38
2023-08-04 10:00:00-04:00,1.88,1.47,-22.03
2023-05-23 11:00:00-04:00,1.73,1.65,-4.37
2023-02-10 09:00:00-05:00,1.8,1.6,-10.91
2022-11-11 07:00:00-05:00,1.65,2.15,30.19
2022-08-05 11:00:00-04:00,1.32,1.62,22.42
2022-05-25 10:00:00-04:00,0.87,0.9,3.24
2022-02-11 09:00:00-05:00,1.3,1.47,12.94
2021-11-12 08:00:00-05:00,1.08,1.42,31.21
2021-08-13 08:00:00-04:00,1.1,-0.1,-109.04
2021-05-29 09:00:00-04:00,0.73,0.57,-21.53
2021-02-05 09:00:00-05:00,0.4,0.4,1.27
2020-11-12 09:00:00-05:00,-0.37,-0.05,85.68
2020-08-14 08:00:00-04:00,-2.49,-2.37,4.62
2020-06-17 10:00:00-04:00,0.35,-0.59,-268.57
2020-02-14 10:00:00-05:00,0.62,-1.01,-262.9
