Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 05:00:00-05:00,17.27,,
2025-10-29 09:00:00-04:00,13.85,18.14,30.97
2025-08-07 07:00:00-04:00,23.55,20.54,-12.79
2025-05-06 11:00:00-04:00,6.65,16.06,141.48
2025-01-23 07:00:00-05:00,14.13,14.2,0.48
2024-10-25 04:00:00-04:00,16.59,0.67,-95.96
2024-07-29 09:00:00-04:00,5.0,1.67,-66.6
2024-05-09 05:00:00-04:00,25.51,12.73,-50.1
2024-01-25 02:00:00-05:00,4.25,2.49,-41.5
2023-11-06 09:00:00-05:00,6.42,27.39,326.36
2023-08-02 09:00:00-04:00,22.17,29.15,31.53
2023-05-12 09:00:00-04:00,12.38,15.15,22.32
2023-02-09 07:00:00-05:00,4.4,0.81,-81.5
2022-11-03 04:00:00-04:00,-21.79,-10.21,53.12
2022-08-06 05:00:00-04:00,-14.12,-47.92,-239.32
2022-05-19 08:00:00-04:00,6.35,8.44,32.84
2022-01-31 07:00:00-05:00,11.0,4.08,-62.9
2021-11-02 03:00:00-04:00,9.28,9.04,-2.61
2021-08-04 07:00:00-04:00,7.65,8.4,9.76
2021-05-20 08:00:00-04:00,4.81,13.62,182.96
2021-02-04 02:00:00-05:00,6.86,10.34,50.69
2020-11-04 06:00:00-05:00,7.31,10.84,48.24
2020-08-06 07:00:00-04:00,8.13,12.31,51.48
2020-06-16 09:00:00-04:00,-1.34,4.61,444.94
2020-02-05 08:00:00-05:00,4.98,3.27,-34.4
