Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 05:00:00-05:00,17.39,,
2025-10-28 08:00:00-04:00,6.8,9.06,33.24
2025-08-12 09:00:00-04:00,12.94,14.73,13.85
2025-04-30 11:00:00-04:00,10.25,-3.35,-132.68
2025-01-30 06:00:00-05:00,8.9,11.49,29.1
2024-11-06 06:00:00-05:00,7.2,8.83,22.64
2024-07-24 08:00:00-04:00,12.1,14.46,19.5
2024-05-13 08:00:00-04:00,11.75,9.34,-20.54
2024-01-31 06:00:00-05:00,12.27,19.21,56.53
2023-10-31 07:00:00-04:00,11.52,13.81,19.88
2023-08-10 20:00:00-04:00,9.4,13.93,48.19
2023-05-16 08:00:00-04:00,10.3,9.01,-12.49
2023-02-01 05:00:00-05:00,8.3,8.32,0.25
2022-11-10 06:00:00-05:00,7.8,9.31,19.3
2022-07-15 08:00:00-04:00,8.6,20.5,138.39
2022-05-30 10:00:00-04:00,24.6,12.29,-50.05
2022-02-08 05:00:00-05:00,19.7,13.77,-30.11
2021-11-02 04:00:00-04:00,29.97,24.44,-18.46
2021-08-10 04:00:00-04:00,24.77,33.9,36.9
2021-05-12 06:00:00-04:00,25.17,25.63,1.85
2021-01-21 04:00:00-05:00,14.02,23.54,67.95
2020-10-30 03:00:00-04:00,2.6,9.78,276.15
2020-07-22 05:00:00-04:00,-0.83,1.79,316.53
2020-05-25 09:00:00-04:00,5.26,4.86,-7.52
2020-01-18 04:00:00-05:00,0.22,-2.2,-1100.0
