Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-19 05:00:00-05:00,2.84,,
2025-10-15 10:00:00-04:00,2.98,2.93,-1.51
2025-07-19 15:00:00-04:00,2.71,2.8,3.23
2025-04-25 09:00:00-04:00,2.51,2.54,1.2
2025-01-20 08:00:00-05:00,2.36,2.5,5.93
2024-10-17 20:00:00-04:00,2.79,2.78,-0.37
2024-07-16 09:00:00-04:00,2.69,2.74,1.82
2024-04-27 09:00:00-04:00,2.78,2.22,-20.07
2024-01-23 08:00:00-05:00,2.49,2.57,3.42
2023-10-20 08:00:00-04:00,2.24,2.39,6.7
2023-07-19 08:00:00-04:00,1.99,2.13,7.3
2023-04-28 07:00:00-04:00,1.9,2.02,6.32
2023-01-13 08:00:00-05:00,1.72,2.03,18.16
2022-10-20 09:00:00-04:00,1.44,1.63,13.19
2022-07-19 08:00:00-04:00,1.57,0.91,-42.04
2022-04-29 08:00:00-04:00,1.85,1.18,-36.22
2022-01-21 07:00:00-05:00,1.91,1.11,-41.88
2021-10-20 08:00:00-04:00,0.79,0.9,13.92
2021-07-16 08:00:00-04:00,1.54,0.72,-53.25
2021-04-29 08:00:00-04:00,1.92,1.17,-39.06
2021-01-15 09:00:00-05:00,1.79,1.45,-18.99
2020-10-22 08:00:00-04:00,1.12,1.32,17.86
2020-07-16 08:00:00-04:00,1.04,-0.39,-137.09
2020-05-15 08:00:00-04:00,2.71,1.92,-29.15
2020-01-17 08:00:00-05:00,2.79,2.95,5.73
