Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 05:00:00-05:00,3.86,,
2025-10-16 02:00:00-04:00,4.04,3.9,-3.4
2025-07-24 02:00:00-04:00,3.93,3.42,-13.06
2025-04-24 02:00:00-04:00,4.13,4.59,11.27
2025-01-31 01:00:00-05:00,3.86,3.61,-6.53
2024-10-17 02:00:00-04:00,4.5,3.98,-11.5
2024-07-25 02:00:00-04:00,4.11,3.87,-5.84
2024-04-25 03:00:00-04:00,4.3,4.81,11.83
2024-02-07 02:00:00-05:00,3.65,3.4,-6.74
2023-07-27 01:00:00-04:00,3.75,3.62,-3.44
2023-04-25 01:00:00-04:00,3.59,3.82,6.39
2023-02-16 01:00:00-05:00,3.25,3.26,0.32
2022-10-19 01:00:00-04:00,3.43,3.47,1.05
2022-07-28 01:00:00-04:00,3.11,2.73,-12.1
2022-04-21 00:00:00-04:00,3.33,3.08,-7.29
2022-02-17 01:00:00-05:00,2.94,2.94,0.1
2021-10-19 07:00:00-04:00,3.24,3.2,-1.04
2021-07-28 06:00:00-04:00,2.95,2.79,-5.22
2021-04-20 06:00:00-04:00,3.25,3.13,-3.91
2021-02-16 07:00:00-05:00,2.92,50.12,1615.06
2020-10-23 08:00:00-04:00,2.92,3.04,4.29
2020-07-28 07:00:00-04:00,2.85,2.52,-11.32
2020-05-12 06:00:00-04:00,2.86,2.73,-4.58
2020-02-13 08:00:00-05:00,2.65,2.43,-8.21
2019-11-08 07:00:00-05:00,2.93,3.12,6.58
