Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-19 05:00:00-05:00,20.5,,
2025-10-15 08:00:00-04:00,16.05,20.91,30.28
2025-07-21 08:00:00-04:00,19.94,11.59,-41.87
2025-04-28 10:00:00-04:00,16.76,11.91,-28.96
2025-01-20 06:00:00-05:00,19.01,17.01,-10.5
2024-10-18 06:00:00-04:00,14.76,16.21,9.85
2024-07-19 09:00:00-04:00,13.31,16.08,20.81
2024-05-14 09:00:00-04:00,11.59,21.67,86.91
2024-01-22 06:00:00-05:00,13.2,9.91,-24.92
2023-10-27 10:00:00-04:00,8.73,12.56,43.82
2023-07-31 09:00:00-04:00,10.56,8.85,-16.22
2023-05-16 10:00:00-04:00,7.34,13.21,79.97
2023-02-08 07:00:00-05:00,9.94,19.32,94.42
2022-10-14 09:00:00-04:00,10.99,8.76,-20.28
2022-07-15 08:00:00-04:00,7.92,11.09,40.11
2022-05-26 10:00:00-04:00,8.45,6.39,-24.33
2022-01-28 09:00:00-05:00,8.53,12.86,50.76
2021-10-29 09:00:00-04:00,5.65,7.33,29.73
2021-07-29 09:00:00-04:00,3.91,2.22,-43.26
2021-05-14 10:00:00-04:00,9.21,7.89,-14.34
2021-01-22 06:00:00-05:00,11.09,7.88,-28.97
2020-10-17 08:00:00-04:00,3.33,3.79,13.87
2020-07-14 10:00:00-04:00,3.46,6.9,99.63
2020-07-13 20:00:00-04:00,3.78,0.77,-79.63
2020-02-07 07:00:00-05:00,6.97,4.08,-41.43
