Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 05:00:00-05:00,13.79,,
2025-11-14 07:00:00-05:00,10.83,6.42,-40.69
2025-08-12 10:00:00-04:00,13.01,11.66,-10.38
2025-05-21 10:00:00-04:00,10.67,9.79,-8.22
2025-02-07 07:00:00-05:00,10.78,7.51,-30.33
2024-11-05 07:00:00-05:00,18.75,11.27,-39.89
2024-08-08 08:00:00-04:00,12.5,9.02,-27.84
2024-05-20 07:00:00-04:00,9.1,12.47,37.07
2024-02-13 05:00:00-05:00,10.87,9.74,-10.37
2023-11-08 05:00:00-05:00,11.83,16.53,39.66
2023-08-08 06:00:00-04:00,7.76,9.92,27.91
2023-05-24 08:00:00-04:00,28.49,10.71,-62.39
2023-02-11 02:00:00-05:00,8.78,10.73,22.28
2022-11-10 04:00:00-05:00,23.21,11.65,-49.78
2022-08-10 06:00:00-04:00,11.56,9.56,-17.27
2022-05-27 06:00:00-04:00,37.57,13.02,-65.34
2022-02-11 04:00:00-05:00,5.55,7.98,43.7
2021-11-10 05:00:00-05:00,3.85,3.11,-19.28
2021-08-12 05:00:00-04:00,2.24,3.12,39.08
2021-06-21 06:00:00-04:00,3.51,5.53,57.55
2021-02-11 06:00:00-05:00,0.82,4.62,467.21
2020-11-09 08:00:00-05:00,0.68,2.29,238.74
2020-08-21 09:00:00-04:00,-0.31,-0.95,-204.21
2020-06-26 09:00:00-04:00,2.33,5.69,144.84
2020-02-11 05:00:00-05:00,3.89,2.5,-35.77
